fixture_id,team,player_id,player_name,minutes_played,rating,position,is_substitute,shots_total,shots_on_goal,goals_total,assists,passes_total,passes_key,passes_accuracy_pct,tackles_total,tackles_interceptions,duels_won
868026,Brentford,18917,Ben Mee,90.0,7.9,D,False,1.0,1.0,,,69.0,,54,3.0,1.0,8.0
868026,Brentford,19346,Rico Henry,90.0,7.2,D,False,,,,,27.0,1.0,25,5.0,1.0,6.0
868026,Brentford,20110,Shandon Baptiste,84.0,7.2,M,False,,,,,44.0,2.0,36,1.0,,2.0
868026,Brentford,25073,Vitaly Janelt,90.0,7.3,M,False,,,,,48.0,2.0,44,3.0,,4.0
868026,Brentford,47438,Mathias Jensen,90.0,7.7,M,False,,,,,58.0,2.0,47,4.0,1.0,5.0
868026,Brentford,20589,Bryan Mbeumo,61.0,6.6,F,False,1.0,,,,22.0,,17,1.0,,3.0
868026,Brentford,19974,Ivan Toney,90.0,6.9,F,False,3.0,1.0,,,19.0,,15,,,3.0
868026,Brentford,15908,Mikkel Damsgaard,61.0,7.2,F,False,2.0,2.0,,,20.0,1.0,13,1.0,,4.0
868026,Brentford,278041,Matthew Cox,,,G,True,,,,,,,,,,
868026,Brentford,2731,Zanka,26.0,6.9,D,True,,,,,32.0,,30,1.0,,1.0
868026,Brentford,2699,Saman Ghoddos,,,F,True,,,,,,,,,,
868026,Brentford,15799,Frank Onyeka,11.0,6.3,M,True,,,,,,,,,,
868026,Brentford,15745,Mads Roerslev Rasmussen,,,D,True,,,,,,,,,,
868026,Brentford,382925,Ryan Trevitt,,,M,True,,,,,,,,,,
868026,Brentford,19362,Joshua Dasilva,29.0,7,M,True,,,,,19.0,2.0,14,,,
868026,Brentford,44871,Aaron Hickey,29.0,6.3,D,True,,,,,27.0,,22,,1.0,2.0
868026,Brentford,20649,Yoane Wissa,29.0,6.3,M,True,,,,,6.0,,3,,,1.0
868029,Fulham,1438,Bernd Leno,90.0,7.3,G,False,,,,,36.0,,13,,,
868029,Fulham,946,Kevin Mbabu,45.0,5.9,D,False,,,,,10.0,,6,,1.0,1.0
868029,Fulham,19145,Tosin Adarabioyo,90.0,5.9,D,False,,,,,24.0,,19,,,1.0
868029,Fulham,19023,Tim Ream,90.0,5.9,D,False,,,,,25.0,,17,,1.0,2.0
868029,Fulham,263,Layvin Kurzawa,45.0,6.3,D,False,,,,,7.0,,4,2.0,1.0,2.0
868029,Fulham,19480,Harrison Reed,90.0,6.7,M,False,,,,,30.0,,20,4.0,4.0,5.0
868029,Fulham,18803,Nathaniel Chalobah,8.0,3,M,False,,,,,1.0,,1,1.0,,1.0
868029,Fulham,19329,Daniel James,70.0,6.3,M,False,,,,,12.0,,8,1.0,,4.0
868029,Fulham,899,Andreas Pereira,90.0,6.3,M,False,,,,,32.0,1.0,18,1.0,,2.0
868029,Fulham,19004,Bobby Reid,90.0,6.7,M,False,1.0,1.0,1.0,,20.0,,15,,,
868029,Fulham,2825,Aleksandar Mitrović,37.0,6.2,F,False,,,,,6.0,,3,,,
868029,Fulham,19657,Marek Rodák,,,G,True,,,,,,,,,,
868029,Fulham,18814,Issa Diop,45.0,6.6,D,True,,,,,27.0,,23,,1.0,
868029,Fulham,18962,Shane Duffy,,,D,True,,,,,,,,,,
868029,Fulham,284471,Stefan Parkes,,,D,True,,,,,,,,,,
868029,Fulham,153077,Luke Harris,,,M,True,,,,,,,,,,
868029,Fulham,19027,Neeskens Kebano,20.0,7.2,M,True,,,,1.0,10.0,1.0,6,1.0,,3.0
868029,Fulham,19393,Joshua Onomah,,,M,True,,,,,,,,,,
868029,Fulham,19025,Tom Cairney,45.0,7.2,M,True,1.0,,,,28.0,,26,3.0,,5.0
868029,Fulham,104,Carlos Vinícius,53.0,6.3,F,True,,,,,13.0,1.0,11,,,3.0
868029,Newcastle,18911,Nick Pope,90.0,6.2,G,False,,,,,15.0,,12,,,
868029,Newcastle,169,Kieran Trippier,83.0,8.2,D,False,,,,,70.0,3.0,57,2.0,1.0,3.0
868029,Newcastle,2806,Fabian Schär,83.0,7,D,False,,,,,73.0,1.0,65,,,3.0
868029,Newcastle,38734,Sven Botman,90.0,7.2,D,False,1.0,1.0,,,68.0,1.0,64,1.0,1.0,4.0
868029,Newcastle,18961,Dan Burn,83.0,7.3,D,False,1.0,1.0,,,62.0,,57,1.0,1.0,2.0
868029,Newcastle,18901,Sean Longstaff,90.0,7.3,M,False,2.0,1.0,1.0,,50.0,2.0,44,3.0,,5.0
868029,Newcastle,10135,Bruno Guimarães,59.0,8.3,M,False,,,,1.0,59.0,4.0,52,3.0,,5.0
868029,Newcastle,1463,Joe Willock,90.0,7.7,M,False,2.0,2.0,,2.0,50.0,4.0,47,1.0,,3.0
868029,Newcastle,2507,Miguel Almirón,90.0,8.5,F,False,2.0,2.0,2.0,,43.0,,40,1.0,,2.0
868029,Newcastle,2939,Callum Wilson,66.0,7.2,F,False,3.0,1.0,1.0,,4.0,,3,,,2.0
868029,Newcastle,19163,Jacob Murphy,90.0,7.3,F,False,3.0,2.0,,,42.0,2.0,27,2.0,,2.0
868029,Newcastle,1972,Loris Karius,,,G,True,,,,,,,,,,
868029,Newcastle,18894,Jamaal Lascelles,11.0,6.3,D,True,,,,,9.0,,8,,,2.0
868029,Newcastle,18892,Paul Dummett,,,D,True,,,,,,,,,,
868029,Newcastle,19076,Jamal Lewis,11.0,6.2,D,True,,,,,12.0,,10,,,
868029,Newcastle,18941,Matt Targett,11.0,6.2,D,True,,,,,5.0,,5,,,
868029,Newcastle,138908,Elliot Anderson,31.0,6.5,M,True,,,,,21.0,1.0,19,1.0,1.0,1.0
868029,Newcastle,18873,Ryan Fraser,24.0,6.7,M,True,,,,,22.0,1.0,20,,,1.0
868029,Newcastle,723,Joelinton,,,F,True,,,,,,,,,,
868029,Newcastle,18931,Chris Wood,,,F,True,,,,,,,,,,
868032,Liverpool,280,Alisson,90.0,6.5,G,False,,,,,24.0,,20,,,
868032,Liverpool,283,Trent Alexander-Arnold,90.0,6.9,D,False,3.0,1.0,,,49.0,,37,2.0,1.0,4.0
868032,Liverpool,286,Joël Matip,90.0,6.7,D,False,,,,,49.0,,35,2.0,1.0,2.0
868032,Liverpool,290,Virgil van Dijk,90.0,6.2,D,False,1.0,1.0,,,63.0,,56,2.0,2.0,5.0
868032,Liverpool,1600,Konstantinos Tsimikas,59.0,6.2,D,False,,,,,42.0,1.0,37,1.0,,2.0
868032,Liverpool,292,Jordan Henderson,59.0,6.9,M,False,,,,,30.0,2.0,26,,,1.0
868032,Liverpool,299,Fabinho,90.0,7.2,M,False,,,,,58.0,,47,3.0,3.0,6.0
868032,Liverpool,507,Thiago Alcântara,89.0,7.3,M,False,,,,,74.0,2.0,62,3.0,1.0,9.0
